Tên sản phẩm,Giá sản phẩm,CPU,RAM,Bộ nhớ trong,Kích thước màn hình,Độ phân giải màn hình,Pin,Bluetooth,Camera sau,Camera trước,Link,Thể loại sản phẩm,Cửa hàng
iPhone 12 mini 64GB Chính hãng (VN/A),"17,400,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-64gb-vna,IPHONE,XTSMART
iPhone 12 64GB (Likenew),"17,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-64gb-likenew,IPHONE,XTSMART
iPhone 12 256GB (Likenew),"17,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,256GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 128GB (Likenew),"24,100,000 VNĐ",A14 Bionic 6 nhân,,128GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-128gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 256GB (Likenew),"25,000,000 VNĐ",A14 Bionic 6 nhân,,256GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 512GB (Likewnew),"26,900,000 VNĐ",A14 Bionic 6 nhân,,512GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-512gb-likewnew,IPHONE,XTSMART
iPhone 12 Pro Max 128GB (Likenew),"27,100,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,128GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-128gb-likenew,IPHONE,XTSMART
iPhone 12 Pro Max 256GB (Likenew),"28,500,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,256GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro Max 512GB (Likenew),"30,800,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,512GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-512gb-likenew,IPHONE,XTSMART
iPhone XS 64GB 97% Quốc Tế (Likenew),"8,280,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,64GB,"5.8""",1125 x 2436 pixels,2716 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-64gb-97-quoc-te-likenew,IPHONE,XTSMART
iPhone SE 2020 256GB Quốc Tế,"12,880,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-se-2020-256gb-quoc-te,IPHONE,XTSMART
iPhone SE 2020 128GB Quốc Tế,"11,080,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-se-2020-128gb-quoc-te,IPHONE,XTSMART
iPhone SE 2020 64GB Quốc Tế,"9,980,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-se-2020-64gb-quoc-te,IPHONE,XTSMART
iPhone 8 Plus 64GB Quốc Tế (97%),"6,580,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,64GB,"5.5""",Full HD (1080 x 1920 pixels),2691 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-plus-64gb-quoc-te-97,IPHONE,XTSMART
iPhone XS Max 64GB Quốc Tế (Likenew) (97%),"11,080,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,64GB,"6.5""",1242 x 2688 pixels,"3174 mAh, có sạc nhanh","5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-max-64gb-quoc-te-likenew-97,IPHONE,XTSMART
iPhone 11 64GB Quốc Tế (Likenew),"12,980,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,64GB,"6.1""",1792 x 828 Pixels,3110 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone X 64GB Quốc Tế (97%),"7,380,000 VNĐ",Apple A11 Bionic 6 nhân,3GB,64 GB,"5.8""",1125 x 2436 Pixels,2716 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-x-64gb-quoc-te-97,IPHONE,XTSMART
iPhone 11 Pro Max 256GB Quốc Tế,"26,980,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-11-pro-max-256gb-quoc-te,IPHONE,XTSMART
iPhone 11 128GB Quốc Tế,"17,750,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,128 GB,"6.1""",1792 x 828 Pixels,3110 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-128gb-quoc-te,IPHONE,XTSMART
iPhone 11 64GB Quốc Tế,"16,300,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,64GB,"6.1""",1792 x 828 Pixels,3110 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-64gb-quoc-te,IPHONE,XTSMART
iPhone 6s Plus 32GB Quốc Tế (Likenew),"3,980,000 VNĐ",Apple A9 2 nhân 64-bit,2 GB,32 GB,"5.5""",Full HD (1080 x 1920 pixels),2750 mAh,"A2DP, LE, V4.2",,,https://www.xtsmart.vn/iphone-6s-plus-32gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 7 128GB Quốc Tế (Likenew),"4,380,000 VNĐ",Apple A10 Fusion 4 nhân 64-bit,3GB,128GB,"4.7""",HD (1334 x 750 Pixels),1960 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-7-128gb-quoc-te-likenew,IPHONE,XTSMART
iPhone XR 64GB Quốc Tế (Likenew),"8,480,000 VNĐ",Apple A12 Bionic 6 nhân,3 GB,64 GB,"6.1""",828 x 1792 Pixels,2942 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-xr-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 8 256GB Quốc Tế (Likenew),"6,180,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,256GB,"4.7""",HD (1334 x 750 Pixels),1821 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-256gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 8 64GB Quốc Tế (Likenew),"4,580,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,64GB,"4.7""",HD (1334 x 750 Pixels),1821 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 6s Plus 16GB Quốc Tế (Likenew),"3,580,000 VNĐ",Apple A9 2 nhân 64-bit,2 GB,16 GB,"5.5""",Full HD (1080 x 1920 pixels),2750 mAh,"A2DP, LE, V4.2",,,https://www.xtsmart.vn/iphone-6s-plus-16gb-quoc-te-likenew-,IPHONE,XTSMART
iPhone 11 Pro Max 64GB Quốc Tế,"25,580,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,256GB,"6.5""",1242 x 2688 Pixels,3969 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-pro-max-64gb-quoc-te,IPHONE,XTSMART
iPhone XS Max 512GB Quốc Tế (Likenew),"13,980,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,512GB,"6.5""",1242 x 2688 pixels,"3174 mAh, có sạc nhanh","5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-max-512gb-quoc-te-likenew,IPHONE,XTSMART
IPHONE X 256GB QUỐC TẾ 97%,"8,480,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-x-256gb-quoc-te-97-,IPHONE,XTSMART
iPhone Xs Max 256GB Quốc Tế (Cũ 97%),"12,680,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-xs-max-256gb-quoc-te-cu-97,IPHONE,XTSMART
iPhone Xs 256GB Quốc Tế (Cũ 97%),"9,780,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-xs-256gb-quoc-te-cu-97,IPHONE,XTSMART
iPhone 12 Pro Max 512GB Chính hãng (VN/A),"38,100,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,512GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-512gb-vna,IPHONE,XTSMART
iPhone 12 Pro Max 256GB Chính hãng (VN/A),"32,600,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,256GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-256gb-vna,IPHONE,XTSMART
iPhone 12 Pro Max 128GB Chính hãng (VN/A),"29,900,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,128GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-128gb-chinh-hang-vn/a,IPHONE,XTSMART
iPhone 12 Pro 256GB Chính hãng (VN/A),"29,400,000 VNĐ",A14 Bionic 6 nhân,,256GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-256gb-vna,IPHONE,XTSMART
iPhone 12 Pro 128GB Chính hãng (VN/A),"27,400,000 VNĐ",A14 Bionic 6 nhân,,128GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-128gb-vn,IPHONE,XTSMART
iPhone 12 128GB Chính hãng (VN/A),"22,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,128GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-128gb-vna,IPHONE,XTSMART
iPhone 12 64GB Chính hãng (VN/A),"20,500,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-64gb-vna,IPHONE,XTSMART
iPhone 12 mini 256GB Chính hãng (VN/A),"21,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,256GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-256gb-vna,IPHONE,XTSMART
iPhone 12 mini 128GB Chính hãng (VN/A),"20,500,000 VNĐ",Apple A14 Bionic,Đang cập nhật,128GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-64gb-vna-1610190366,IPHONE,XTSMART
iPhone 12 mini 64GB Chính hãng (VN/A),"17,400,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-64gb-vna,IPHONE,XTSMART
iPhone 12 64GB (Likenew),"17,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-64gb-likenew,IPHONE,XTSMART
iPhone 12 256GB (Likenew),"17,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,256GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 128GB (Likenew),"24,100,000 VNĐ",A14 Bionic 6 nhân,,128GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-128gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 256GB (Likenew),"25,000,000 VNĐ",A14 Bionic 6 nhân,,256GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 512GB (Likewnew),"26,900,000 VNĐ",A14 Bionic 6 nhân,,512GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-512gb-likewnew,IPHONE,XTSMART
iPhone 12 Pro Max 128GB (Likenew),"27,100,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,128GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-128gb-likenew,IPHONE,XTSMART
iPhone 12 Pro Max 256GB (Likenew),"28,500,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,256GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro Max 512GB (Likenew),"30,800,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,512GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-512gb-likenew,IPHONE,XTSMART
iPhone XS 64GB 97% Quốc Tế (Likenew),"8,280,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,64GB,"5.8""",1125 x 2436 pixels,2716 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-64gb-97-quoc-te-likenew,IPHONE,XTSMART
iPhone SE 2020 256GB Quốc Tế,"12,880,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-se-2020-256gb-quoc-te,IPHONE,XTSMART
iPhone SE 2020 128GB Quốc Tế,"11,080,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-se-2020-128gb-quoc-te,IPHONE,XTSMART
iPhone SE 2020 64GB Quốc Tế,"9,980,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-se-2020-64gb-quoc-te,IPHONE,XTSMART
iPhone 8 Plus 64GB Quốc Tế (97%),"6,580,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,64GB,"5.5""",Full HD (1080 x 1920 pixels),2691 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-plus-64gb-quoc-te-97,IPHONE,XTSMART
iPhone XS Max 64GB Quốc Tế (Likenew) (97%),"11,080,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,64GB,"6.5""",1242 x 2688 pixels,"3174 mAh, có sạc nhanh","5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-max-64gb-quoc-te-likenew-97,IPHONE,XTSMART
iPhone 11 64GB Quốc Tế (Likenew),"12,980,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,64GB,"6.1""",1792 x 828 Pixels,3110 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone X 64GB Quốc Tế (97%),"7,380,000 VNĐ",Apple A11 Bionic 6 nhân,3GB,64 GB,"5.8""",1125 x 2436 Pixels,2716 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-x-64gb-quoc-te-97,IPHONE,XTSMART
iPhone 11 Pro Max 256GB Quốc Tế,"26,980,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-11-pro-max-256gb-quoc-te,IPHONE,XTSMART
iPhone 11 128GB Quốc Tế,"17,750,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,128 GB,"6.1""",1792 x 828 Pixels,3110 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-128gb-quoc-te,IPHONE,XTSMART
iPhone 11 64GB Quốc Tế,"16,300,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,64GB,"6.1""",1792 x 828 Pixels,3110 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-64gb-quoc-te,IPHONE,XTSMART
iPhone 6s Plus 32GB Quốc Tế (Likenew),"3,980,000 VNĐ",Apple A9 2 nhân 64-bit,2 GB,32 GB,"5.5""",Full HD (1080 x 1920 pixels),2750 mAh,"A2DP, LE, V4.2",,,https://www.xtsmart.vn/iphone-6s-plus-32gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 7 128GB Quốc Tế (Likenew),"4,380,000 VNĐ",Apple A10 Fusion 4 nhân 64-bit,3GB,128GB,"4.7""",HD (1334 x 750 Pixels),1960 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-7-128gb-quoc-te-likenew,IPHONE,XTSMART
iPhone XR 64GB Quốc Tế (Likenew),"8,480,000 VNĐ",Apple A12 Bionic 6 nhân,3 GB,64 GB,"6.1""",828 x 1792 Pixels,2942 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-xr-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 8 256GB Quốc Tế (Likenew),"6,180,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,256GB,"4.7""",HD (1334 x 750 Pixels),1821 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-256gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 8 64GB Quốc Tế (Likenew),"4,580,000 VNĐ",Apple A11 Bionic 6 nhân,2GB,64GB,"4.7""",HD (1334 x 750 Pixels),1821 mAh,"5.0, A2DP, LE, EDR",,,https://www.xtsmart.vn/iphone-8-64gb-quoc-te-likenew,IPHONE,XTSMART
iPhone 6s Plus 16GB Quốc Tế (Likenew),"3,580,000 VNĐ",Apple A9 2 nhân 64-bit,2 GB,16 GB,"5.5""",Full HD (1080 x 1920 pixels),2750 mAh,"A2DP, LE, V4.2",,,https://www.xtsmart.vn/iphone-6s-plus-16gb-quoc-te-likenew-,IPHONE,XTSMART
iPhone 11 Pro Max 64GB Quốc Tế,"25,580,000 VNĐ",Apple A13 Bionic (7 nm+),4 GB,256GB,"6.5""",1242 x 2688 Pixels,3969 mAh,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-11-pro-max-64gb-quoc-te,IPHONE,XTSMART
iPhone XS Max 512GB Quốc Tế (Likenew),"13,980,000 VNĐ",Apple A12 Bionic 6 nhân,4 GB,512GB,"6.5""",1242 x 2688 pixels,"3174 mAh, có sạc nhanh","5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-xs-max-512gb-quoc-te-likenew,IPHONE,XTSMART
IPHONE X 256GB QUỐC TẾ 97%,"8,480,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-x-256gb-quoc-te-97-,IPHONE,XTSMART
iPhone Xs Max 256GB Quốc Tế (Cũ 97%),"12,680,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-xs-max-256gb-quoc-te-cu-97,IPHONE,XTSMART
iPhone Xs 256GB Quốc Tế (Cũ 97%),"9,780,000 VNĐ",,,,,,,,,,https://www.xtsmart.vn/iphone-xs-256gb-quoc-te-cu-97,IPHONE,XTSMART
iPhone 12 Pro Max 512GB Chính hãng (VN/A),"38,100,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,512GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-512gb-vna,IPHONE,XTSMART
iPhone 12 Pro Max 256GB Chính hãng (VN/A),"32,600,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,256GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-256gb-vna,IPHONE,XTSMART
iPhone 12 Pro Max 128GB Chính hãng (VN/A),"29,900,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,128GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-128gb-chinh-hang-vn/a,IPHONE,XTSMART
iPhone 12 Pro 256GB Chính hãng (VN/A),"29,400,000 VNĐ",A14 Bionic 6 nhân,,256GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-256gb-vna,IPHONE,XTSMART
iPhone 12 Pro 128GB Chính hãng (VN/A),"27,400,000 VNĐ",A14 Bionic 6 nhân,,128GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-128gb-vn,IPHONE,XTSMART
iPhone 12 128GB Chính hãng (VN/A),"22,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,128GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-128gb-vna,IPHONE,XTSMART
iPhone 12 64GB Chính hãng (VN/A),"20,500,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-64gb-vna,IPHONE,XTSMART
iPhone 12 mini 256GB Chính hãng (VN/A),"21,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,256GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-256gb-vna,IPHONE,XTSMART
iPhone 12 mini 128GB Chính hãng (VN/A),"20,500,000 VNĐ",Apple A14 Bionic,Đang cập nhật,128GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-64gb-vna-1610190366,IPHONE,XTSMART
iPhone 12 mini 64GB Chính hãng (VN/A),"17,400,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,"5.4""",2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-mini-64gb-vna,IPHONE,XTSMART
iPhone 12 64GB (Likenew),"17,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,64GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-64gb-likenew,IPHONE,XTSMART
iPhone 12 256GB (Likenew),"17,300,000 VNĐ",Apple A14 Bionic,Đang cập nhật,256GB,6.1 inch,2340 x 1080 pixels (476ppi),Đang cập nhật,Bluetooth 5.0,,,https://www.xtsmart.vn/iphone-12-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 128GB (Likenew),"24,100,000 VNĐ",A14 Bionic 6 nhân,,128GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-128gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 256GB (Likenew),"25,000,000 VNĐ",A14 Bionic 6 nhân,,256GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-256gb-likenew,IPHONE,XTSMART
iPhone 12 Pro 512GB (Likewnew),"26,900,000 VNĐ",A14 Bionic 6 nhân,,512GB,6.1 inch,1170 x 2532 pixels,,"5.0, A2DP, LE",,,https://www.xtsmart.vn/iphone-12-pro-512gb-likewnew,IPHONE,XTSMART
iPhone 12 Pro Max 128GB (Likenew),"27,100,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,128GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-128gb-likenew,IPHONE,XTSMART
iPhone 12 Pro Max 256GB (Likenew),"28,500,000 VNĐ",Apple A14 Bionic 6 nhân (5nm),6GB,256GB,6.7 inch,2.778 x 1.284 pixel,,5.0,,,https://www.xtsmart.vn/iphone-12-pro-max-256gb-likenew,IPHONE,XTSMART
